Domain,Bill,Year,Status,Summary,Labor,Coalition,Coalition_reason,OneNation,OneNation_reason,Greens,Greens_reason,Confidence_notes
Climate & Energy,Climate Change Act,2022,Passed,"Legislates 43% emissions cut by 2030 and net zero by 2050 with annual climate statements",For,Against,"Said legislating a target was unnecessary red tape and economically risky",Against,"Climate-sceptic; called for the bill's rejection on no-cost-benefit grounds",For,"Backed it as a floor while pushing for a 75% target and a ban on new coal/gas (opposed from the left, voted yes)","High confidence on direction"
Climate & Energy,Safeguard Mechanism (Crediting) Amendment Act,2023,Passed (amended),"Forces ~215 biggest emitters to cut emissions ~4.9%/yr via declining tradable baselines",For,Against,"Branded it a carbon tax by another name that raises costs and threatens industry",Against,"Anti-climate-policy stance",For,"Negotiated from the left; won a hard cap on absolute emissions and a pollution trigger for new fossil projects","One Nation direction reliable, exact division not confirmed"
Climate & Energy,Nature Repair Act,2023,Passed (amended),"Creates a national voluntary biodiversity market with tradable nature-restoration certificates",For,Against,"Backflipped from support; said Labor's version diverged too far ahead of EPBC reform",Against,"Consistent anti-scheme stance",For,"Opposed as greenwashing then voted for after winning a ban on using certificates as offsets (from the left)","One Nation exact division not confirmed"
Climate & Energy,Net Zero Economy Authority Act,2024,Passed (amended),"Statutory body to manage transition - retrain coal/gas workers, attract clean-energy investment",For,Against,"Called it a top-down Canberra-centric union wish-list",Against,"Categorically anti-net-zero; has flagged repeal",For,"Won baseline operational funding and stronger worker/community reporting (from the left)","One Nation exact division not confirmed"
Climate & Energy,New Vehicle Efficiency Standard Act,2024,Passed,"Australia's first binding fleet-average CO2 standard for new light vehicles, with penalties",For,Against,"Branded it a ute tax / family-car tax (HiLux, Ranger)",Against,"Ran an Is your HiLux next anti-ute-tax campaign",For,"Wanted tougher standards; support traded for dropping an unrelated gas fast-track (from the left)","One Nation exact division not confirmed"
Climate & Energy,Treasury Laws Amendment (Energy Price Relief Plan) Act,2022,Passed (amended),"Emergency 12-month $12/GJ gas price cap plus ~$1.5bn household and small-business bill relief",For,Against,"Opposed price caps as heavy-handed market intervention and sovereign risk",Against,"Sen. Roberts spoke against; opposed price intervention",For,"Won a ~$1.5bn low-income electrification package; their windfall-tax price-freeze amendment was voted down (from the left)","High confidence on direction"
Climate & Energy,National Reconstruction Fund Corporation Act,2023,Passed (amended),"$15bn investment vehicle (loans, guarantees, equity) across seven priority areas incl. renewables",For,Against,"Called it a slush fund; attacked the Labor-Greens exclusion of new coal/gas",Unclear,"Division exists but party breakdown not retrievable",For,"Negotiated the exclusion of new coal/gas/native-forestry from eligibility (from the left)","One Nation unverified"
Industrial Relations,Fair Work (Secure Jobs Better Pay) Act,2022,Passed (amended),"Introduced multi-employer bargaining, banned pay-secrecy clauses, limited zombie agreements",For,Against,"Feared multi-employer bargaining drags in small business and raises strike risk",Against,"Joined the crossbench delay push then voted no (not decisive)",For,"Provided decisive Senate votes; framed it as wage-lifting (from the left)","One Nation per union record, exact roll unconfirmed"
Industrial Relations,Fair Work (Protecting Worker Entitlements) Act,2023,Passed,"Added super to the National Employment Standards, protected migrant-worker entitlements",For,For,"Broadly did not oppose (bipartisan); its super-overlap amendments were defeated",Unclear,"No specific recorded vote located",For,"Backed worker-protection and migrant-worker provisions",""
Industrial Relations,Fair Work (Closing Loopholes) Act,2023,Passed,"Criminalised wage theft; same-job-same-pay for labour-hire; workplace-delegate rights",For,Against,"Opposed same-job-same-pay and wage-theft criminalisation as burdens on business; pledged repeal",Against,"Per union record (not decisive)",For,"Pushed to add super theft to the criminal wage-theft provisions (from the left)","One Nation per union record"
Industrial Relations,Fair Work (Closing Loopholes No. 2) Act,2024,Passed (amended),"Casual-conversion pathway, fairer contractor test, gig-worker standards, right to disconnect",For,Against,"Opposed gig, casual and right-to-disconnect rules; pledged repeal",Against,"Per union record (not decisive)",For,"Authored the right-to-disconnect amendment (Sen. Barbara Pocock) (from the left)","One Nation per union record"
Industrial Relations,Paid Parental Leave Amendment (Adding Superannuation) Act,2024,Passed,"Pays the 12% Super Guarantee on government-funded Paid Parental Leave",For,For,"Supported in principle; its choice-and-carve-out alternative was defeated",Unclear,"Not a Fair Work bill; no reliable vote located",For,"Originally Greens policy; pushed for 52 weeks PPL by 2030 (from the left)","One Nation unverified"
Housing Tax & Cost of Living,Housing Australia Future Fund Act,2023,Passed (amended),"$10bn fund whose annual returns (~$500m/yr) finance social and affordable housing",For,Against,"Called it a risky stock-market gamble that guarantees no homes",Abstain,"Hostile; reported as abstaining on final passage",For,"After a standoff demanding a rent freeze; won ~$1bn extra direct social housing and a $500m/yr minimum (from the left)","One Nation abstention medium confidence"
Housing Tax & Cost of Living,Help to Buy Act,2024,Passed,"National shared-equity scheme - Commonwealth takes up to 40% stake; buyers need as little as 2% deposit",For,Against,"Opposed government co-ownership of homes; argued it props up prices",Against,"Sen. Roberts called it a dog of a bill that fails to fix supply",For,"Delayed ~2 months demanding negative-gearing/CGT reform and rent caps, won none, capitulated (from the left)","Labor floated it as a double-dissolution trigger"
Housing Tax & Cost of Living,Treasury Laws Amendment (Build to Rent) Act,2024,Passed (amended),"Tax concessions for institutional build-to-rent housing, conditional on affordability rules",For,Against,"Objected to concessions for large/foreign institutional investors",Against,"Hanson opposed on foreign-ownership grounds",For,"Stalled it for months for negative-gearing/CGT reform then waved it through without headline wins (from the left)","One Nation exact division not isolated"
Housing Tax & Cost of Living,Treasury Laws Amendment (Cost of Living Tax Cuts) Act,2024,Passed,"Reworked legislated Stage 3 income-tax cuts to redistribute relief toward low/middle earners",For,For,"Branded Albanese a liar over the broken promise but would not block tax cuts",Unclear,"Passed broadly with Coalition support; no isolated ON vote confirmed",For,"Welcomed the redistribution but said it didn't go far enough (amendment defeated) (from the left)","One Nation unverified"
Housing Tax & Cost of Living,Family Assistance (Cheaper Child Care) Act,2022,Passed (amended),"Lifted maximum Child Care Subsidy to 90% for families up to $80k, tapering out at $530k",For,For,"Supported cheaper childcare in principle (cf. 2025 Three-Day Guarantee, which it opposed)",Against,"Roberts forced a committee-stage division against part of the bill",For,"Called it a step forward; failed to abolish the activity test (from the left)","One Nation no clean final vote pinned"
Housing Tax & Cost of Living,Universities Accord (Student Support and Other Measures) Act,2024,Passed,"Caps HELP/HECS indexation at the lower of CPI or wage growth, backdated to mid-2023",For,For,"Would not stand in the way (with reservations)",Unclear,"Not separately verified",For,"Moved a defeated free-university amendment (from the left)","One Nation unverified"
Housing Tax & Cost of Living,Universities Accord (Cutting Student Debt by 20 Per Cent) Act,2025,Passed,"One-off 20% cut to all student loan balances (~$16bn wiped) and higher repayment threshold (~$67k)",For,Against,"Called it reverse Robin Hood; did not oppose passage; its 3%-indexation alternative was rejected",Against,"Hanson called debt write-offs ridiculous",For,"Backed it as a step toward wiping all student debt (from the left)","One Nation exact vote not confirmed"
Integrity & Democracy,National Anti-Corruption Commission Act,2022,Passed (amended),"Independent federal anti-corruption body; public hearings only in exceptional circumstances",For,For,"Bipartisan passage; backed the restrictive public-hearing test",Against,"Hanson opposed a federal ICAC on principle (cited the Berejiklian case)",For,"Wanted public hearings by default (lost); won stronger Inspector oversight (from the left)","One Nation final-passage vote not pinned"
Integrity & Democracy,Constitution Alteration (Aboriginal and Torres Strait Islander Voice) - Referendum,2023,Failed (No 60% / Yes 40%),"Proposed constitutional recognition of First Peoples plus an advisory Voice to Parliament",Yes,No,"Liberals and Nationals campaigned No; Liberal Julian Leeser resigned frontbench to back Yes (internal split)",No,"Campaigned heavily for No; argued it divided Australians by race",Yes,"All federal Greens campaigned Yes after internal Treaty-first debate","Positions = Yes/No campaign stance"
Integrity & Democracy,Electoral Legislation Amendment (Electoral Reform) Act,2025,Passed (amended),"Donation cap ($50k), spending caps, lower disclosure threshold ($5k), higher per-vote public funding",For,For,"Did a deal with Labor (higher caps, $5k threshold) in exchange for support",Against,"Part of unified crossbench opposition; argued it entrenches the major parties",Against,"Backed transparency elements but voted no, calling it a major-party stitch-up (opposed from the left, against the majors)","Notable major-party alignment; One Nation roll not isolated"
Social Policy & Health,Online Safety Amendment (Social Media Minimum Age) Act,2024,Passed (amended),"Requires platforms to take reasonable steps to stop under-16s holding accounts (penalties ~$49.5m)",For,For,"Backed it on child-protection grounds (a few defectors: Archer, Antic, Canavan)",Against,"Called it government overreach undermining parental responsibility",Against,"Opposed the rushed process, privacy/age-verification risks and harm to young people's engagement","Rare Labor-Coalition alignment; ON with whole crossbench against"
Social Policy & Health,Communications (Combatting Misinformation and Disinformation) Bill,2024,Withdrawn (no Senate vote),"Would have empowered ACMA to make platforms manage seriously harmful misinformation",For,Against,"Called it dystopian censorship and a free-speech threat",Against,"Roberts and Hanson moved to kill the bill; opposed as censorship",Against,"Opposed for opposite reasons - too weak, exempted mainstream media; wanted a duty-of-care model","Bill never reached a vote"
Social Policy & Health,Aged Care Act,2024,Passed (amended),"Rights-based aged-care framework (Statement of Rights, Support at Home, means-tested co-contributions)",For,For,"Genuine bipartisan support after negotiating amendments",Unclear,"Division table not retrievable; do not assume",Against,"Opposed after Labor sided with Coalition to reject Greens amendments (wanted penalties, no higher co-contributions) (from the left)","One Nation unverified"
Social Policy & Health,NDIS Amendment (Getting the NDIS Back on Track No. 1) Act,2024,Passed (amended),"Reforms the NDIS to contain cost growth - redefines supports/budgets, tightens access",For,For,"Backed the amended bill after seeking a longer inquiry (effectively decisive)",Unclear,"Pushed a defeated fraud inquiry; final vote not confirmed",Against,"Filed a dissenting report; argued it cuts participants' choice and control (from the left)","One Nation unverified"
Social Policy & Health,Treasury Laws Amendment (Reserve Bank Reforms) Act,2024,Passed,"Splits the RBA board into a Monetary Policy Board and a Governance Board",For,Against,"Feared the Treasurer could stack the new boards",Unclear,"Not pivotal (passed via Labor + Greens + Pocock + Lambie)",For,"Initially blocked it demanding rate cuts then backed the reforms, giving Labor the numbers","Whole Coalition against; One Nation unverified"
Social Policy & Health,Therapeutic Goods (Vaping Reforms) Act,2024,Passed (amended),"Bans recreational vapes; after a Greens deal adults buy regulated nicotine vapes from pharmacies",For,Against,"Opposed in principle but did not block passage; wanted over-the-counter adult sales",Against,"Pro-vaping/anti-prohibition; wanted adult retail like cigarettes",For,"Pivotal negotiator; won the pharmacy model and decriminalisation of personal-use possession (from the left)","One Nation exact division not confirmed"
Immigration & Security,Migration Amendment (Bridging Visa Conditions) Act (+ companion),2023,Passed (amended),"Post-NZYQ: visa conditions for released detainees (ankle monitors, curfews) plus preventative detention",For,For,"Backed the substance and pushed harder - forced the addition of preventative detention",Unclear,"No recorded party-level Senate division located",Against,"Opposed ankle monitors/curfews and future-crime preventative detention","Labor-Coalition aligned; One Nation unverified"
Immigration & Security,Migration Amendment (Removal and Other Measures) Bill,2024,Passed (amended),"Powers to direct deportees to cooperate (mandatory jail for non-cooperation) and third-country removal",For,For,"Backed expanded removal and third-country powers",Unclear,"No recorded vote confirmed",Against,"Condemned it as punitive, criminalising and a threat to non-refoulement (from the left)","One Nation unverified"
Immigration & Security,November 2024 Migration Package (Migration Amendment Act + Prohibiting Items in Detention Act),2024,Passed,"Expands powers to re-detain/remove and bans phones/items in detention facilities",For,For,"Voted with Labor; nobody rebelled (clearest Labor-Coalition alignment)",Unclear,"Not verified",Against,"Civil-liberties/refugee-rights opposition; condemned the haste","One Nation unverified"
Immigration & Security,Digital ID Act,2024,Passed (amended),"National accreditation/governance framework for digital identity, extended to states and private sector",For,Against,"Raised privacy/scope-creep and rushed-process objections; sided with One Nation",Against,"Opposed on privacy/surveillance grounds; voted with the Coalition",For,"Won amendments making it genuinely voluntary with a non-digital alternative (sided with Labor here)","Greens with Labor vs Coalition + One Nation"
Immigration & Security,Future Made in Australia (Production Tax Credits and Other Measures) Act,2025,Passed (amended),"Refundable production tax incentives for renewable hydrogen ($2/kg) and critical-minerals processing (10%)",For,Against,"Attacked the credits as corporate welfare and poor-value subsidy",Against,"Opposes green-industry subsidies",For,"Won an amendment barring uranium from qualifying as a critical mineral (from the left)","Industry x climate; One Nation exact division not confirmed"
Immigration & Security,Defence Trade Controls Amendment Act (AUKUS),2024,Passed (amended),"Licence-free defence trade with US and UK; new criminal offences for unauthorised supply elsewhere",For,For,"Bipartisan AUKUS support",Unclear,"Not verified",Against,"Criticised rushed process, harm to research and new criminal offences","Greens clearly opposed but final division not confirmed"
Immigration & Security,Anti-Money Laundering and CTF Amendment Act (Tranche 2),2024,Passed,"Extends AML/CTF obligations to lawyers, accountants, conveyancers, real-estate agents and dealers",For,Unclear,"Sought failed small-business carve-outs; did not block",Unclear,"Not verified",Unclear,"No clear recorded division located","Party breakdown unverified"
